timestamp,scream,flushed,stuckOutTongue,stuckOutTongueWinkingEye,wink,smirk,rage,disappointed,kissing,laughing,smiley,relaxed,BrowRaise,BrowFurrow,NoseWrinkle,UpperLipRaise,LipCornerDepressor,ChinRaise,LipPucker,LipPress,LipSuck,MouthOpen,Smirk,EyeClosure,Attention,EyeWiden,CheekRaise,LidTighten,Dimpler,LipStretch,JawDrop,InnerBrowRaise,Smile,Engagement,Valence,Contempt,Surprise,Anger,Sadness,Disgust,Fear,Joy,Glasses
10.16667,0.02810288,0.001829086,0,0,0.001849975,1.902127E-06,0.00275607,0.001829415,0.00211814,0.001814781,0.001814859,0.001822062,6.270396E-07,0.04967308,1.812472E-07,8.059344E-09,8.787001E-05,0.0001419641,0.7314593,0.02794448,0.009666914,5.07,0.001341455,2.598738E-07,57.61782,2.708583E-05,2.694581E-07,3.247452,0.8711405,0.0404865,0.1180284,0.02960102,0.0005681601,0.1138202,0,0.1928719,0.2186471,0.00275607,0.02039774,0.4665906,0.004536113,0.001999382,1
10.23333,0.02809662,0.001829086,0,0,0.00185299,1.902172E-06,0.002860117,0.001829395,0.002111077,0.00181531,0.001815397,0.001822339,7.409147E-07,0.05198288,7.34681E-06,4.047429E-07,0.0001231469,0.000323733,0.5440114,0.01327336,0.01168839,6.065218,0.001803647,3.822197E-07,57.02802,2.268932E-05,4.945327E-07,3.319418,0.4568484,0.0568135,0.05281511,0.02677173,0.0009306783,0.1222158,0,0.1928845,0.223808,0.002860117,0.01973569,0.4750125,0.00454786,0.002035701,1
10.3,0.02808931,0.001829086,0,0,0.001853957,1.902231E-06,0.003224527,0.001829377,0.002102413,0.001815832,0.001815938,0.00182263,9.107741E-07,0.04338227,0.001349556,0.000107016,0.000127866,0.0006936615,0.43916,0.006027587,0.01549157,10.27733,0.002516451,3.27218E-07,58.04067,1.667746E-05,8.866032E-07,2.930279,0.2832943,0.07335806,0.02507544,0.03306942,0.001539242,0.1649449,0,0.1928592,0.2486211,0.003224527,0.01714734,0.512572,0.004552937,0.002199182,1
10.36667,0.02808233,0.001829086,0,0,0.001854196,1.902354E-06,0.005263566,0.001829361,0.002092932,0.001816252,0.001816388,0.001822945,1.027744E-06,0.03430961,0.01496696,0.001471634,0.0001038384,0.001543915,0.3541006,0.01128594,0.01925729,25.27663,0.005225102,3.079774E-07,51.11613,1.607521E-05,1.500808E-06,2.755313,0.3272774,0.1328203,0.01586513,0.0417144,0.002573768,0.4797111,0,0.192867,0.3615184,0.005263566,0.01039796,0.6728845,0.004560072,0.002890865,1
10.43333,0.02806964,0.001829086,0,0,0.001855348,1.902641E-06,0.009762422,0.001829308,0.002093157,0.001816822,0.001816992,0.00182333,1.336834E-06,0.02951929,0.01237887,0.001392405,6.953392E-05,0.003299554,0.3724365,0.0179406,0.02397922,44.10124,0.01089933,3.79311E-07,52.07948,1.358236E-05,1.583009E-06,2.572819,0.3161212,0.2578653,0.01089021,0.04582212,0.002809007,1.815193,0,0.1929623,0.5776836,0.009762422,0.005550454,0.9444597,0.004574623,0.004072113,1
10.5,0.02806385,0.001829086,0,0,0.0018548,1.90307E-06,0.01521758,0.001829296,0.00208547,0.001817276,0.001817476,0.001823623,1.694212E-06,0.02665056,0.007641759,0.001004081,4.439485E-05,0.01139703,0.3871185,0.0365085,0.04090255,57.57278,0.0187328,3.683483E-07,50.08093,1.173688E-05,1.63619E-06,2.481362,0.3187055,0.4809632,0.009609169,0.05211242,0.002997879,4.614988,0,0.1931096,0.8073638,0.01521758,0.003541139,1.2019,0.004600387,0.005203368,1
10.53333,0.02805433,0.001829086,0,0,0.001855257,1.903823E-06,0.02286263,0.001829256,0.002088708,0.001817885,0.00181813,0.001823997,1.72855E-06,0.02440277,0.004938675,0.0006931516,3.840358E-05,0.03692144,0.4132359,0.06760155,0.09342013,70.01106,0.0301892,3.507853E-07,55.05317,9.99125E-06,2.091546E-06,2.350676,0.3213792,0.6626435,0.008141336,0.06893625,0.003861059,10.5239,0,0.1933237,1.099079,0.02286263,0.002338133,1.498034,0.004622238,0.006525597,1
10.6,0.02804722,0.001829086,0,0,0.001855539,1.904842E-06,0.03131647,0.001829218,0.002094331,0.001818603,0.001818903,0.001824444,2.030454E-06,0.02275735,0.004063947,0.0005946604,4.908605E-05,0.1131671,0.4511276,0.04091923,0.1994481,79.33005,0.04081365,3.676416E-07,50.37007,8.116976E-06,2.543721E-06,2.46258,0.2828091,0.8143263,0.01012733,0.1004268,0.004663956,18.62143,0,0.193524,1.384481,0.03131647,0.001714851,1.76046,0.004641425,0.007732213,1
10.66667,0.02803973,0.001829086,0,0,0.001855687,1.905655E-06,0.03817617,0.001829182,0.002095134,0.001819403,0.001819814,0.001825021,3.631161E-06,0.02085046,0.005086747,0.0007383077,4.673717E-05,0.269814,0.3117765,0.03055417,0.3677731,85.16463,0.03260966,1.322237E-06,49.84224,8.548497E-06,5.297718E-06,2.569868,0.2893097,0.9012001,0.008725627,0.1317165,0.008444644,25.76575,0,0.1932941,1.599545,0.03817617,0.001410439,1.937581,0.004652691,0.008603879,1
10.73333,0.02803033,0.001829086,0,0,0.001855741,1.9061E-06,0.044849,0.001829155,0.00209008,0.001820293,0.00182085,0.001825693,1.182836E-05,0.0162109,0.004038268,0.0006632647,6.209622E-05,0.4583018,0.1603311,0.01511774,0.5586549,90.40443,0.01788838,1.234458E-06,49.50719,6.637138E-06,7.575426E-06,2.349039,0.2623973,0.8868765,0.008235772,0.1773977,0.01101443,33.53157,0,0.1929388,1.821462,0.044849,0.001183937,2.10715,0.004653121,0.009470651,1
